Crop,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,temperature,humidity,ph,rainfall,N_percent,P_percent,K_percent,total_yield,Fertilizer_per_ha,Pesticide_per_ha,Soil_Type
Arecanut,Whole Year ,Assam,73814.0,56708,2051.4,7024878.4,22882.3,0.8,26.5,47.5,6.95,298.6,56.8,20.6,22.7,59051.2,95.17000027095132,0.3099994580973799,Laterite
Arhar/Tur,Kharif     ,Assam,6637.0,4685,2051.4,631643.3,2057.5,0.71,25.6,56.2,6.49,298.6,46.3,27.0,26.7,4712.27,95.17000150670484,0.3100045201145096,Sandy Loam
Castor seed,Kharif     ,Assam,796.0,22,2051.4,75755.3,246.8,0.24,25.3,73.5,6.78,298.6,49.6,27.3,23.1,191.04,95.16997487437186,0.3100502512562814,Sandy Loam
Coconut ,Whole Year ,Assam,19656.0,126905000,2051.4,1870661.5,6093.4,5238.05,29.4,59.4,6.39,225.6,47.4,28.3,24.3,102959110.8,95.16999898249898,0.310002035002035,Loamy
Cotton(lint),Kharif     ,Assam,1739.0,794,2051.4,165500.6,539.1,0.42,26.3,50.8,6.77,99.9,49.3,20.5,30.2,730.38,95.16998274870616,0.3100057504312823,Black
Dry chillies,Whole Year ,Assam,13587.0,9073,2051.4,1293074.8,4212.0,0.64,35.7,55.1,6.19,298.6,46.3,26.1,27.6,8695.68,95.17000073599765,0.3100022079929344,Loamy
Gram,Rabi       ,Assam,2979.0,1507,2051.4,283511.4,923.5,0.47,24.4,49.9,6.01,298.6,49.1,25.7,25.2,1400.13,95.16998992950656,0.3100033568311514,Sandy Loam
Jute,Kharif     ,Assam,94520.0,904095,2051.4,8995468.4,29301.2,9.92,21.7,62.8,6.57,199.8,48.7,26.6,24.7,937638.4,95.17,0.31,Loamy
Linseed,Rabi       ,Assam,10098.0,5158,2051.4,961026.7,3130.4,0.46,28.4,60.8,6.67,298.6,53.7,21.4,24.9,4645.08,95.17000396118044,0.3100019805902159,Loamy
Maize,Kharif     ,Assam,19216.0,14721,2051.4,1828786.7,5957.0,0.62,24.1,58.6,5.86,109.8,56.8,21.4,21.9,11913.92,95.16999895920068,0.3100020815986677,Alluvial
Mesta,Kharif     ,Assam,5915.0,29003,2051.4,562930.6,1833.6,4.57,16.6,56.0,6.6,298.6,48.7,25.5,25.8,27031.550000000003,95.17000845308536,0.3099915469146238,Loamy
Niger seed,Whole Year ,Assam,9914.0,5076,2051.4,943515.4,3073.3,0.48,23.3,54.5,7.01,298.6,53.6,23.0,23.4,4758.72,95.1700020173492,0.3099959653015937,Loamy
Onion,Whole Year ,Assam,7832.0,17943,2051.4,745371.4,2427.9,2.34,20.4,66.0,6.59,298.6,51.4,23.4,25.2,18326.88,95.16999489274772,0.3099974463738509,Loamy
Other  Rabi pulses,Rabi       ,Assam,108297.0,58272,2051.4,10306625.5,33572.1,0.52,21.9,51.9,6.68,298.6,44.9,30.2,24.9,56314.44,95.17000009233868,0.3100002770159838,Loamy
Potato,Whole Year ,Assam,75259.0,671871,2051.4,7162399.0,23330.3,7.56,19.0,65.8,6.22,298.6,48.7,25.7,25.6,568958.0399999999,95.16999960137656,0.3100001328744735,Alluvial
Rapeseed &Mustard,Rabi       ,Assam,279292.0,154772,2051.4,26580219.6,86580.5,0.55,28.3,58.8,6.25,298.6,55.1,22.1,22.9,153610.6,95.16999985678072,0.3099999283903585,Loamy
Rice,Autumn     ,Assam,607358.0,398311,2051.4,57802260.9,188281.0,0.78,18.7,62.0,5.8,298.6,50.3,25.9,23.9,473739.24,95.170000065859,0.3100000329295078,Clayey
Rice,Summer     ,Assam,174974.0,209623,2051.4,16652275.6,54241.9,1.06,22.6,79.4,5.13,298.6,54.8,25.3,19.9,185472.44,95.1700001143027,0.3099997713946072,Clayey
Rice,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.5,0.94,27.4,54.7,5.82,298.6,56.8,26.7,16.6,1638721.74,95.17000001720854,0.3099999942638217,Clayey
Sesamum,Whole Year ,Assam,15765.0,8257,2051.4,1500355.0,4887.2,0.49,25.4,53.6,6.64,298.6,48.1,28.6,23.3,7724.849999999999,95.16999682841738,0.3100031715826197,Loamy
Small millets,Kharif     ,Assam,10490.0,5391,2051.4,998333.3,3251.9,0.47,23.9,46.8,6.11,298.6,45.6,25.5,28.9,4930.299999999999,95.17,0.31,Loamy
Sweet potato,Whole Year ,Assam,9380.0,32618,2051.4,892694.6,2907.8,3.44,28.2,57.3,5.62,298.6,46.8,25.8,27.4,32267.2,95.17,0.31,Loamy
Tobacco,Whole Year ,Assam,433.0,26,2051.4,41208.6,134.2,0.38,20.9,55.0,6.13,298.6,48.0,27.3,24.7,164.54,95.16997690531176,0.3099307159353348,Loamy
Turmeric,Whole Year ,Assam,10071.0,6974,2051.4,958457.1,3122.0,0.67,24.2,47.6,5.5,298.6,46.8,24.0,29.2,6747.570000000001,95.17000297885016,0.3099990070499454,Red Loamy
Arecanut,Whole Year ,Karnataka,93100.0,133342,1266.7,8860327.0,28861.0,1.29,35.6,50.1,7.0,298.6,46.7,27.5,25.8,120099.0,95.17,0.31,Laterite
Arhar/Tur,Kharif     ,Karnataka,421810.0,98473,1266.7,40143657.7,130761.1,0.27,24.2,59.5,6.11,298.6,53.3,24.5,22.1,113888.7,95.17,0.31,Sandy Loam
Bajra,Kharif     ,Karnataka,301149.0,132056,1266.7,28660350.3,93356.2,0.4,18.6,62.1,7.45,298.6,50.0,24.4,25.6,120459.6,95.16999990038154,0.3100000332061537,Sandy
Bajra,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81,31.5,62.6,6.25,298.6,48.8,24.1,27.1,664.2,95.17,0.31,Sandy
Black pepper,Kharif     ,Karnataka,3825.0,924,1266.7,364025.2,1185.8,0.44,25.9,45.3,5.68,298.6,50.1,27.5,22.3,1683.0,95.16998692810458,0.3100130718954248,Loamy
Cardamom,Whole Year ,Karnataka,21230.0,1214,1266.7,2020459.1,6581.3,0.06,23.1,77.5,5.84,298.6,48.3,27.5,24.3,1273.8,95.17,0.31,Loamy
Coriander,Whole Year ,Karnataka,17317.0,2853,1266.7,1648058.9,5368.3,0.12,25.0,58.0,6.7,298.6,50.9,23.7,25.3,2078.04,95.17000057746722,0.3100017324016862,Loamy
Dry chillies,Kharif     ,Karnataka,186579.0,139206,1266.7,17756723.4,57839.5,1.08,14.7,59.4,5.99,298.6,50.0,24.1,25.9,201505.32,95.1699998392102,0.3100000535965998,Loamy
Dry chillies,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.0,1415.2,1.87,29.6,44.1,6.52,298.6,48.3,23.9,27.8,8536.550000000001,95.16998904709747,0.3100109529025192,Loamy
Garlic,Whole Year ,Karnataka,5061.0,3799,1266.7,481655.4,1568.9,1.58,27.7,76.0,6.41,298.6,48.9,24.8,26.3,7996.38,95.17000592768228,0.3099980241059079,Loamy
Ginger,Kharif     ,Karnataka,3619.0,4745,1266.7,344420.2,1121.9,1.26,25.9,47.0,6.55,298.6,44.5,28.6,26.9,4559.94,95.16999171041724,0.3100027631942526,Loamy
Groundnut,Rabi       ,Karnataka,192416.0,181071,1266.7,18312230.7,59649.0,1.13,23.8,51.5,5.14,298.6,43.8,26.2,30.0,217430.08,95.16999989605854,0.3100002078829203,Sandy Loam
Horse-gram,Kharif     ,Karnataka,178872.0,80124,1266.7,17023248.2,55450.3,0.45,20.6,58.9,5.45,298.6,46.5,32.0,21.5,80492.40000000001,95.1699997763764,0.3099998881882016,Loamy
Jowar,Kharif     ,Karnataka,389690.0,516093,1266.7,37086797.3,120803.9,1.23,33.6,48.2,6.35,298.6,51.1,25.7,23.3,479318.7,95.17,0.31,Red
Jowar,Rabi       ,Karnataka,1501172.0,722773,1266.7,142866539.2,465363.3,0.51,24.3,43.5,6.36,298.6,50.1,26.2,23.8,765597.72,95.16999997335417,0.3099999866770763,Red
Jowar,Summer     ,Karnataka,6137.0,15135,1266.7,584058.3,1902.5,2.47,27.4,72.2,6.59,298.6,50.4,24.9,24.7,15158.39,95.17000162946066,0.3100048883819455,Red
